player,position,Fantasy Points,FP deviation,Floor,Ceiling,Geometric mean,Median
Rams,DST,15.15,6.85,1.45,28.85,13.51,15.15
Panthers,DST,11.6,2.64,6.32,16.88,11.33,10.45
Panthers,DST,11.6,2.64,6.32,16.88,11.33,10.45
Vikings,DST,10.9,3.49,3.92,17.88,10.29,11.45
Vikings,DST,10.9,3.49,3.92,17.88,10.29,11.45
Dolphins,DST,10.82,6.89,-2.95,24.6,8.84,8.75
Dolphins,DST,10.82,6.89,-2.95,24.6,8.84,8.75
Packers,DST,10.65,3.68,3.29,18.01,10.13,8.8
Packers,DST,10.65,3.68,3.29,18.01,10.13,8.8
Texans,DST,10.53,4.58,1.38,19.68,9.67,7.5
Patriots,DST,10.37,3.99,2.4,18.34,9.7,7.7
Chiefs,DST,10.02,2.7,4.63,15.42,9.64,10.25
Chiefs,DST,10.02,2.7,4.63,15.42,9.64,10.25
Bengals,DST,9.95,4.18,1.59,18.31,9.22,8.3
Bengals,DST,9.95,4.18,1.59,18.31,9.22,8.3
Seahawks,DST,9.75,3.74,2.28,17.22,9.14,8.45
Seahawks,DST,9.75,3.74,2.28,17.22,9.14,8.45
Bears,DST,9.5,6.11,-2.72,21.72,8.04,6.6
Bears,DST,9.5,6.11,-2.72,21.72,8.04,6.6
Cardinals,DST,9.35,2.23,4.9,13.8,9.11,8.45
Cardinals,DST,9.35,2.23,4.9,13.8,9.11,8.45
Broncos,DST,9.35,2.72,3.91,14.79,9.01,8.0
Broncos,DST,9.35,2.72,3.91,14.79,9.01,8.0
Lions,DST,9.25,3.96,1.34,17.16,8.57,7.45
Lions,DST,9.25,3.96,1.34,17.16,8.57,7.45
Jaguars,DST,9.08,4.04,0.99,17.16,8.36,7.25
Jaguars,DST,9.08,4.04,0.99,17.16,8.36,7.25
Steelers,DST,9.0,2.92,3.16,14.84,8.61,7.6
Steelers,DST,9.0,2.92,3.16,14.84,8.61,7.6
Ravens,DST,8.98,4.4,0.18,17.77,7.99,7.8
Ravens,DST,8.98,4.4,0.18,17.77,7.99,7.8
Buccaneers,DST,8.98,4.16,0.65,17.3,8.18,7.4
Buccaneers,DST,8.98,4.16,0.65,17.3,8.18,7.4
Eagles,DST,8.82,3.0,2.83,14.82,8.41,7.3
Eagles,DST,8.82,3.0,2.83,14.82,8.41,7.3
Chargers,DST,8.75,4.33,0.09,17.41,7.86,7.15
Chargers,DST,8.75,4.33,0.09,17.41,7.86,7.15
Saints,DST,8.73,3.74,1.26,16.21,8.03,6.5
Colts,DST,8.73,4.22,0.28,17.17,7.93,6.6
Colts,DST,8.73,4.22,0.28,17.17,7.93,6.6
Redskins,DST,8.67,3.17,2.33,15.02,8.18,7.45
Redskins,DST,8.67,3.17,2.33,15.02,8.18,7.45
Raiders,DST,8.67,3.9,0.87,16.48,7.87,7.65
Raiders,DST,8.67,3.9,0.87,16.48,7.87,7.65
Jets,DST,8.65,2.04,4.57,12.73,8.43,8.05
Jets,DST,8.65,2.04,4.57,12.73,8.43,8.05
Bills,DST,8.52,4.35,-0.18,17.23,7.67,6.4
Bills,DST,8.52,4.35,-0.18,17.23,7.67,6.4
Browns,DST,8.45,4.44,-0.42,17.32,7.53,6.55
Browns,DST,8.45,4.44,-0.42,17.32,7.53,6.55
Giants,DST,8.4,3.28,1.84,14.96,7.88,6.95
Giants,DST,8.4,3.28,1.84,14.96,7.88,6.95
Falcons,DST,8.0,5.68,-3.36,19.36,6.3,4.6
Cowboys,DST,7.78,3.79,0.2,15.35,6.99,6.35
Cowboys,DST,7.78,3.79,0.2,15.35,6.99,6.35
Titans,DST,7.72,4.94,-2.15,17.6,6.42,5.9
Titans,DST,7.72,4.94,-2.15,17.6,6.42,5.9
49ers,DST,7.28,4.05,-0.82,15.37,6.34,5.75
49ers,DST,7.28,4.05,-0.82,15.37,6.34,5.75
Cam Newton,QB,22.41,3.86,14.7,30.13,22.11,21.94
Aaron Rodgers,QB,22.27,3.35,15.58,28.96,22.05,21.24
Drew Brees,QB,21.74,3.62,14.5,28.98,21.4,23.87
Philip Rivers,QB,21.62,3.82,13.97,29.27,21.29,21.24
Andrew Luck,QB,21.49,1.94,17.61,25.37,21.41,20.97
Russell Wilson,QB,21.29,1.83,17.64,24.95,21.21,21.56
Matt Ryan,QB,21.0,2.74,15.53,26.48,20.82,21.22
Ben Roethlisberger,QB,19.03,2.72,13.6,24.47,18.84,18.02
Ryan Tannehill,QB,19.0,1.78,15.43,22.57,18.91,19.14
Eli Manning,QB,18.69,2.04,14.6,22.78,18.59,17.81
Kirk Cousins,QB,18.63,1.67,15.28,21.98,18.56,18.2
Matthew Stafford,QB,18.5,2.92,12.66,24.34,18.28,18.02
Blake Bortles,QB,17.91,2.34,13.22,22.6,17.74,18.9
Jameis Winston,QB,17.79,0.8,16.19,19.39,17.77,17.5
Derek Carr,QB,17.72,2.27,13.17,22.27,17.55,18.34
Carson Wentz,QB,17.44,6.77,3.91,30.98,16.41,15.68
Alex Smith,QB,17.33,1.95,13.43,21.22,17.22,16.79
Joe Flacco,QB,17.22,1.15,14.92,19.52,17.18,17.14
Carson Palmer,QB,17.11,1.12,14.86,19.35,17.07,17.18
Cody Kessler,QB,17.08,8.24,0.6,33.56,15.57,13.6
Tyrod Taylor,QB,16.83,0.95,14.94,18.73,16.81,16.7
Marcus Mariota,QB,16.63,2.13,12.37,20.9,16.49,16.54
Ryan Fitzpatrick,QB,16.47,1.27,13.93,19.0,16.42,16.48
Andy Dalton,QB,15.99,2.58,10.82,21.16,15.79,15.1
Dak Prescott,QB,15.93,1.61,12.72,19.15,15.85,16.78
Brock Osweiler,QB,15.59,2.78,10.02,21.15,15.32,15.78
Jacoby Brissett,QB,15.0,9.59,-4.18,34.19,7.85,14.77
Blaine Gabbert,QB,14.06,2.29,9.47,18.64,13.88,13.36
