player,position,Fantasy Points,FP deviation,Floor,Ceiling,Geometric mean,Median
Broncos,DST,10.55,5.21,0.12,20.98,9.66,8.55
Panthers,DST,10.38,2.39,5.6,15.17,10.13,9.7
Cardinals,DST,9.85,3.14,3.57,16.13,9.4,9.05
Seahawks,DST,9.72,5.58,-1.44,20.87,8.66,7.45
Redskins,DST,9.38,6.99,-4.6,23.36,7.88,6.4
Colts,DST,9.25,6.23,-3.2,21.7,7.93,6.95
Chiefs,DST,9.22,3.74,1.73,16.7,8.54,7.45
Vikings,DST,9.07,4.43,0.2,17.93,8.12,6.5
Patriots,DST,8.8,2.43,3.94,13.66,8.53,7.85
Packers,DST,8.48,3.54,1.4,15.57,7.91,7.4
Lions,DST,8.32,4.09,0.13,16.5,7.56,7.0
Texans,DST,8.13,2.92,2.3,13.97,7.69,7.15
Jets,DST,8.12,4.01,0.09,16.15,7.39,6.5
Ravens,DST,8.12,3.75,0.62,15.62,7.44,6.9
Eagles,DST,7.82,3.52,0.78,14.86,7.1,7.3
Bengals,DST,7.82,2.85,2.12,13.51,7.42,6.85
Bears,DST,7.78,3.84,0.1,15.46,7.02,6.3
Steelers,DST,7.67,2.85,1.97,13.37,7.28,6.6
Jaguars,DST,7.57,2.95,1.67,13.46,7.14,6.6
Bills,DST,7.54,4.34,-1.15,16.23,6.63,5.3
Buccaneers,DST,7.47,4.0,-0.54,15.47,6.66,6.35
Chargers,DST,7.37,5.11,-2.85,17.59,6.05,5.55
Giants,DST,7.2,3.24,0.71,13.69,6.62,5.9
Raiders,DST,6.97,3.42,0.13,13.81,6.31,5.6
Saints,DST,6.95,3.36,0.23,13.67,6.3,5.85
Dolphins,DST,6.7,3.4,-0.11,13.51,6.07,5.35
Titans,DST,6.68,3.84,-1.0,14.37,5.89,5.35
Browns,DST,6.45,4.08,-1.71,14.61,5.44,5.3
Falcons,DST,6.43,4.36,-2.29,15.15,5.49,4.55
Cowboys,DST,6.43,3.54,-0.64,13.51,5.74,4.8
49ers,DST,6.18,4.05,-1.91,14.28,5.0,5.0
Cam Newton,QB,23.11,3.17,16.78,29.45,22.87,23.47
Drew Brees,QB,23.07,2.66,17.76,28.39,22.91,23.07
