player,position,Fantasy Points,FP deviation,Floor,Ceiling,Geometric mean,Median
Austin Davis,QB,0.0,0.0,-0.0,0.0,0.0,0.0
Brandon Weeden,QB,0.0,0.0,0.0,0.0,,0.0
Cardale Jones,QB,0.0,0.0,0.0,0.0,,0.0
Ryan Griffin,QB,0.0,0.0,0.0,0.0,,0.0
Aaron Murray,QB,0.0,0.0,0.0,0.0,,0.0
Keith Wenning,QB,0.0,0.0,0.0,0.0,,0.0
Connor Cook,QB,0.0,0.0,0.0,0.0,,0.0
Stephen Morris,QB,0.0,0.0,0.0,0.0,,0.0
Jerrod Johnson,QB,0.0,0.0,0.0,0.0,,0.0
Matt Simms,QB,0.0,0.0,0.0,0.0,,0.0
Christian Ponder,QB,0.0,0.0,0.0,0.0,,0.0
Logan Thomas,QB,0.0,0.0,0.0,0.0,,0.0
David Fales,QB,0.0,0.0,0.0,0.0,,0.0
Josh Johnson,QB,0.0,0.0,0.0,0.0,,0.0
Jeff Driskel,QB,0.0,0.0,0.0,0.0,,0.0
Alex Tanney,QB,0.0,0.0,0.0,0.0,,0.0
Christian Hackenberg,QB,0.0,0.0,0.0,0.0,,0.0
Trevone Boykin,QB,-0.09,0.23,-0.55,0.36,0.04,0.0
David Johnson,RB,19.29,1.96,15.37,23.21,19.19,19.37
Lamar Miller,RB,16.69,1.67,13.34,20.04,16.61,16.87
Melvin Gordon,RB,16.48,2.74,11.01,21.95,16.24,16.67
Todd Gurley,RB,15.85,2.44,10.98,20.72,15.68,14.66
LeVeon Bell,RB,15.65,6.46,2.73,28.56,13.7,19.73
Jamaal Charles,RB,15.08,9.29,-3.51,33.67,12.98,12.58
Matt Forte,RB,14.94,1.95,11.05,18.83,14.82,14.48
Mark Ingram,RB,14.64,3.21,8.22,21.06,14.22,15.1
Charles Sims,RB,14.58,2.21,10.16,19.0,14.38,15.66
Ezekiel Elliott,RB,14.27,0.7,12.87,15.68,14.26,14.39
Theo Riddick,RB,14.24,2.93,8.38,20.1,13.94,13.8
DeMarco Murray,RB,13.7,1.52,10.66,16.74,13.61,14.44
Devonta Freeman,RB,13.54,2.39,8.76,18.32,13.3,14.2
Giovani Bernard,RB,13.23,1.55,10.12,16.34,13.14,12.36
LeSean McCoy,RB,13.1,2.78,7.55,18.66,12.77,14.19
Jordan Howard,RB,12.97,5.56,1.85,24.09,11.23,13.78
Frank Gore,RB,12.81,1.63,9.54,16.07,12.7,13.33
Carlos Hyde,RB,12.63,2.22,8.19,17.08,12.4,13.31
C.J. Anderson,RB,12.48,5.36,1.77,23.2,14.45,14.5
Duke Johnson,RB,12.2,2.77,6.66,17.73,11.85,12.34
Jeremy Hill,RB,12.08,3.4,5.28,18.88,11.6,11.99
LeGarrette Blount,RB,11.67,2.82,6.04,17.3,11.21,13.12
Isaiah Crowell,RB,11.6,2.04,7.53,15.67,11.41,11.26
Rashad Jennings,RB,11.32,2.15,7.02,15.61,11.11,11.42
Christine Michael,RB,11.23,4.71,1.81,20.65,7.85,13.88
Jerick McKinnon,RB,11.18,3.88,3.42,18.94,10.38,12.36
Matt Jones,RB,10.79,2.28,6.24,15.35,10.54,11.47
T.J. Yeldon,RB,10.31,2.2,5.9,14.72,10.01,11.14
Latavius Murray,RB,10.1,2.12,5.85,14.35,9.87,9.59
Chris Ivory,RB,9.79,0.52,8.74,10.83,9.77,9.61
Tevin Coleman,RB,9.57,1.89,5.8,13.35,9.39,9.29
Justin Forsett,RB,9.54,2.58,4.39,14.7,9.15,10.02
Bilal Powell,RB,9.14,5.09,-1.05,19.33,8.1,6.77
Spencer Ware,RB,9.04,3.93,1.18,16.91,7.79,10.2
DeAngelo Williams,RB,8.91,4.12,0.67,17.15,7.9,8.46
Chris Thompson,RB,8.9,1.88,5.14,12.66,8.67,9.05
Cameron Artis-Payne,RB,8.51,2.13,4.24,12.77,8.2,8.33
James White,RB,7.87,2.72,2.43,13.31,7.27,9.07
Dwayne Washington,RB,7.73,2.75,2.22,13.24,7.18,7.4
Derrick Henry,RB,7.43,1.33,4.77,10.09,7.31,7.33
Jay Ajayi,RB,7.41,1.93,3.55,11.28,7.19,6.7
Shaun Draughn,RB,7.06,1.22,4.62,9.49,6.94,7.68
Terrance West,RB,6.68,2.36,1.96,11.41,6.26,6.48
Fozzy Whittaker,RB,6.23,2.95,0.33,12.12,5.36,6.79
Matt Asiata,RB,6.12,3.99,-1.85,14.09,5.81,8.7
KaDeem Carey,RB,5.52,3.6,-1.68,12.71,6.01,4.73
Travaris Cadet,RB,5.09,3.03,-0.96,11.14,5.65,5.8
Benny Cunningham,RB,4.98,2.08,0.81,9.15,4.34,5.2
Alfred Morris,RB,4.84,2.43,-0.03,9.7,4.31,4.23
DeAndre Washington,RB,4.79,1.92,0.95,8.63,4.44,4.05
Devontae Booker,RB,4.79,1.85,1.08,8.5,4.08,5.22
Kenyan Drake,RB,4.78,3.77,-2.77,12.33,1.76,4.83
Orleans Darkwa,RB,4.61,2.32,-0.04,9.25,3.89,4.98
Tim Hightower,RB,4.45,1.11,2.22,6.68,4.3,4.41
Dexter McCluster,RB,4.4,3.23,-2.06,10.86,4.8,3.3
Mike Tolbert,RB,4.1,1.06,1.98,6.22,3.94,4.28
Jacquizz Rodgers,RB,3.99,1.65,0.68,7.29,3.66,3.13
Chris Johnson,RB,3.96,1.26,1.45,6.48,3.77,3.72
Javorius Allen,RB,3.89,6.53,-9.18,16.95,2.31,0.18
Andre Ellington,RB,3.83,1.45,0.93,6.73,3.53,3.89
Josh Ferguson,RB,3.82,1.45,0.92,6.73,3.55,3.28
Kenneth Dixon,RB,3.58,3.59,-3.6,10.76,7.16,3.43
Charcandrick West,RB,3.54,2.2,-0.85,7.94,2.6,3.15
Lance Dunbar,RB,3.52,1.61,0.3,6.74,3.16,3.37
Robert Turbin,RB,3.49,1.26,0.96,6.01,3.27,3.18
Jalen Richard,RB,3.48,2.36,-1.23,8.19,2.75,3.17
Mike Gillislee,RB,3.35,1.21,0.93,5.78,3.13,3.22
Brandon Bolden,RB,3.09,2.72,-2.36,8.54,2.59,2.63
Kenneth Farrow,RB,3.0,1.67,-0.33,6.33,2.58,2.91
C.J. Prosise,RB,2.99,1.44,0.11,5.87,2.64,2.45
Kyle Juszczyk,RB,2.93,1.08,0.76,5.1,2.72,3.03
Alfred Blue,RB,2.67,0.82,1.03,4.32,2.57,2.28
Rob Kelley,RB,2.22,2.12,-2.02,6.46,1.41,1.5
Damien Williams,RB,2.18,1.89,-1.59,5.96,0.73,2.21
Jonathan Grimes,RB,2.18,1.72,-1.26,5.61,1.94,2.28
Reggie Bush,RB,2.03,2.11,-2.19,6.24,1.57,1.08
Bobby Rainey,RB,1.78,1.87,-1.96,5.52,1.15,1.12
Alex Collins,RB,1.78,1.19,-0.6,4.16,1.16,1.8
John Kuhn,RB,1.69,1.3,-0.91,4.29,0.85,1.5
Jamize Olawale,RB,1.68,1.11,-0.55,3.91,0.84,1.66
Joique Bell,RB,1.68,2.38,-3.07,6.43,5.04,0.0
Ronnie Hillman,RB,1.68,1.15,-0.62,3.97,1.4,1.08
Denard Robinson,RB,1.52,1.75,-1.97,5.01,0.95,0.79
Tyler Ervin,RB,1.44,0.9,-0.36,3.25,0.95,1.46
Antonio Andrews,RB,1.2,1.7,-2.2,4.59,0.5,0.48
Zach Zenner,RB,1.14,1.13,-1.12,3.41,0.26,0.96
Mike Davis,RB,1.11,0.91,-0.71,2.93,0.75,0.84
Taiwan Jones,RB,1.1,1.28,-1.46,3.66,0.47,0.59
Isaiah Pead,RB,1.05,1.02,-0.99,3.1,1.14,0.9
Jonathan Williams,RB,1.02,0.76,-0.5,2.54,0.78,0.59
Paul Perkins,RB,1.01,1.16,-1.31,3.32,0.87,0.54
Fitzgerald Toussaint,RB,0.99,0.9,-0.8,2.79,0.49,0.86
Knile Davis,RB,0.9,1.06,-1.23,3.03,0.93,0.43
Corey Grant,RB,0.9,1.44,-1.99,3.79,0.45,0.36
Andy Janovich,RB,0.82,1.21,-1.61,3.25,0.25,0.22
Malcolm Johnson,RB,0.73,0.45,-0.18,1.64,0.6,0.4
Troymaine Pope,RB,0.66,0.72,-0.78,2.11,0.31,0.36
Peyton Barber,RB,0.66,0.55,-0.44,1.76,0.49,0.4
Patrick DiMarco,RB,0.64,0.31,0.03,1.25,0.59,0.53
Anthony Sherman,RB,0.63,1.1,-1.56,2.83,0.27,0.22
Zach Line,RB,0.63,0.49,-0.35,1.6,0.48,0.46
Jordan Todman,RB,0.62,0.71,-0.8,2.05,0.58,0.33
Rex Burkhead,RB,0.5,0.53,-0.55,1.56,0.36,0.21
Jalston Fowler,RB,0.44,0.35,-0.27,1.15,0.47,0.43
James Develin,RB,0.38,0.27,-0.16,0.93,0.42,0.37
Daryl Richardson,RB,0.33,0.31,-0.3,0.95,0.51,0.36
George Atkinson,RB,0.24,0.26,-0.27,0.75,0.16,0.11
Michael Burton,RB,0.21,0.11,-0.02,0.44,0.26,0.24
Raheem Mostert,RB,0.17,0.18,-0.18,0.53,0.34,0.14
Stepfan Taylor,RB,0.17,0.21,-0.24,0.58,0.15,0.05
Daniel Lasco,RB,0.16,0.2,-0.24,0.56,0.4,0.0
Jay Prosch,RB,0.14,0.09,-0.04,0.32,0.16,0.13
Marcus Murphy,RB,0.12,0.15,-0.17,0.41,0.3,0.0
Darius Jackson,RB,0.12,0.18,-0.24,0.47,0.13,0.02
Jerome Felton,RB,0.11,0.1,-0.09,0.3,0.17,0.1
Roosevelt Nix,RB,0.07,0.07,-0.07,0.2,0.08,0.04
Rod Smith,RB,0.02,0.04,-0.06,0.11,0.1,0.0
Chase Reynolds,RB,0.02,0.04,-0.06,0.1,0.09,0.0
Dri Archer,RB,0.01,0.01,-0.02,0.03,0.03,0.0
Joey Iosefa,RB,0.0,0.0,0.0,0.0,,0.0
Kerwynn Williams,RB,0.0,0.0,0.0,0.0,,0.0
Glenn Gronkowski,RB,0.0,0.0,0.0,0.0,,0.0
Gus Johnson,RB,0.0,0.0,0.0,0.0,,0.0
Andre Williams,RB,0.0,0.0,0.0,0.0,,0.0
Antone Smith,RB,0.0,0.0,0.0,0.0,,0.0
Joe Banyard,RB,0.0,0.0,0.0,0.0,,0.0
Brandon Wegher,RB,0.0,0.0,0.0,0.0,,0.0
DuJuan Harris,RB,0.0,0.0,0.0,0.0,,0.0
Austin Johnson,RB,0.0,0.0,0.0,0.0,,0.0
Bishop Sankey,RB,0.0,0.0,0.0,0.0,,0.0
Tommy Bohanon,RB,0.0,0.0,0.0,0.0,,0.0
David Cobb,RB,0.0,0.0,0.0,0.0,,0.0
Juwan Thompson,RB,0.0,0.0,0.0,0.0,,0.0
Stevan Ridley,RB,0.0,0.0,0.0,0.0,,0.0
Khiry Robinson,RB,0.0,0.0,0.0,0.0,,0.0
Marshaun Coprich,RB,0.0,0.0,0.0,0.0,,0.0
C.J. Spiller,RB,0.0,0.0,0.0,0.0,,0.0
Dan Herron,RB,0.0,0.0,0.0,0.0,,0.0
Jordan Reed,TE,12.38,3.9,4.59,20.18,11.33,14.02
Greg Olsen,TE,12.11,2.93,6.24,17.98,11.63,12.82
Travis Kelce,TE,11.54,3.2,5.14,17.95,10.86,12.55
Rob Gronkowski,TE,11.29,4.34,2.61,19.98,10.21,13.52
Jason Witten,TE,10.52,4.28,1.97,19.07,9.62,10.61
Kyle Rudolph,TE,10.36,1.83,6.69,14.02,10.18,10.4
Julius Thomas,TE,10.08,1.1,7.88,12.28,10.02,9.78
Delanie Walker,TE,9.82,2.7,4.43,15.21,9.36,11.19
Zach Miller,TE,9.41,0.69,8.03,10.79,9.38,9.74
Gary Barnidge,TE,9.26,4.36,0.53,17.98,10.54,9.74
Martellus Bennett,TE,9.24,2.26,4.72,13.75,8.98,8.8
Hunter Henry,TE,9.17,3.24,2.69,15.65,8.29,10.69
Coby Fleener,TE,8.92,2.56,3.81,14.04,8.36,9.72
Eric Ebron,TE,8.67,2.65,3.37,13.96,8.17,9.98
Jimmy Graham,TE,8.53,1.74,5.05,12.01,8.33,9.09
Dennis Pitta,TE,8.41,4.44,-0.48,17.3,6.22,10.06
Jacob Tamme,TE,8.05,2.54,2.97,13.12,7.57,8.44
Jesse James,TE,7.94,1.69,4.56,11.31,7.71,8.6
Charles Clay,TE,7.3,2.27,2.76,11.83,6.8,7.73
Cameron Brate,TE,7.26,1.22,4.82,9.7,7.17,7.0
Clive Walford,TE,6.96,2.21,2.54,11.38,6.37,8.02
Jack Doyle,TE,6.5,2.43,1.63,11.36,5.88,7.46
Virgil Green,TE,6.46,2.39,1.68,11.24,5.57,7.37
Dwayne Allen,TE,6.3,3.55,-0.79,13.4,4.02,7.89
Dion Sims,TE,5.9,2.34,1.22,10.58,5.37,6.18
Larry Donnell,TE,5.67,1.75,2.16,9.18,5.36,5.91
Vance McDonald,TE,5.67,2.12,1.43,9.91,5.17,6.56
Garrett Celek,TE,5.27,1.73,1.8,8.74,4.96,5.38
Ryan Griffin,TE,5.24,2.84,-0.44,10.91,5.77,5.46
Lance Kendricks,TE,5.23,1.75,1.73,8.73,4.88,5.52
Will Tye,TE,5.19,1.39,2.41,7.97,4.94,5.92
C.J. Uzomah,TE,4.71,2.43,-0.15,9.57,3.14,5.81
Darren Fells,TE,4.36,1.82,0.72,8.01,3.93,4.59
Austin Hooper,TE,4.1,2.01,0.07,8.13,3.7,3.23
Vernon Davis,TE,4.05,1.43,1.19,6.92,3.84,3.32
Jermaine Gresham,TE,3.96,1.61,0.73,7.18,3.68,3.37
Tyler Kroft,TE,3.9,2.04,-0.18,7.99,3.26,3.24
Crockett Gillmore,TE,3.87,2.23,-0.6,8.33,3.3,3.34
Marcedes Lewis,TE,3.85,1.79,0.28,7.43,3.48,3.29
Austin Seferian-Jenkins,TE,3.58,3.41,-3.24,10.39,5.41,2.78
Luke Willson,TE,3.04,1.16,0.71,5.36,2.75,3.02
Lee Smith,TE,2.66,1.21,0.25,5.08,2.23,2.9
Kellen Davis,TE,2.49,2.13,-1.76,6.74,1.92,1.36
Ed Dickson,TE,2.47,0.96,0.56,4.39,2.24,2.5
Blake Bell,TE,2.44,2.31,-2.18,7.05,1.31,2.03
Sean McGrath,TE,2.22,2.98,-3.73,8.17,2.32,0.6
Tyler Higbee,TE,2.2,1.84,-1.48,5.89,1.33,1.5
Mychal Rivera,TE,2.11,2.16,-2.22,6.43,0.84,1.5
C.J. Fiedorowicz,TE,1.8,1.08,-0.36,3.97,1.52,1.69
MarQueis Gray,TE,1.8,1.33,-0.86,4.45,0.96,2.59
Demetrius Harris,TE,1.79,1.1,-0.41,3.99,1.45,1.87
Brandon Myers,TE,1.79,1.04,-0.3,3.87,1.51,1.48
Geoff Swaim,TE,1.75,1.36,-0.96,4.46,1.31,1.25
Levine Toilolo,TE,1.42,1.69,-1.96,4.8,0.53,0.88
Xavier Grimble,TE,1.37,0.7,-0.03,2.77,1.19,1.24
MyCole Pruitt,TE,1.36,0.79,-0.21,2.94,1.15,1.03
Gavin Escobar,TE,1.3,1.5,-1.7,4.3,0.56,0.72
Josh Hill,TE,1.3,1.15,-1.01,3.6,1.22,0.78
Jace Amaro,TE,1.24,1.16,-1.08,3.55,1.23,0.99
Jeff Heuerman,TE,1.22,1.02,-0.83,3.26,0.79,0.9
Maxx Williams,TE,1.14,0.9,-0.65,2.93,0.81,1.0
John Phillips,TE,1.11,0.51,0.1,2.13,0.98,1.04
Anthony Fasano,TE,1.11,1.0,-0.89,3.11,0.56,0.64
Luke Stocker,TE,0.93,0.95,-0.98,2.84,0.88,0.63
Rhett Ellison,TE,0.9,0.6,-0.29,2.09,0.67,0.73
Troy Niklas,TE,0.86,0.95,-1.03,2.75,0.78,0.41
Randall Telfer,TE,0.75,0.59,-0.43,1.93,0.79,0.46
Andrew Quarless,TE,0.64,0.64,-0.64,1.94,1.29,0.64
Logan Paulsen,TE,0.6,0.87,-1.14,2.34,0.79,0.15
Cole Wick,TE,0.56,0.37,-0.17,1.3,0.66,0.56
Clay Harbor,TE,0.53,0.3,-0.07,1.13,0.45,0.48
David Johnson,TE,0.49,0.51,-0.52,1.51,0.34,0.22
Nick Vannett,TE,0.48,0.26,-0.03,0.99,0.4,0.47
Jim Dray,TE,0.45,0.19,0.07,0.83,0.41,0.36
Phillip Supernaw,TE,0.38,0.42,-0.46,1.22,0.55,0.3
David Morgan,TE,0.31,0.18,-0.05,0.66,0.41,0.4
Nick OLeary,TE,0.29,0.23,-0.17,0.75,0.12,0.4
Cory Harkey,TE,0.28,0.16,-0.03,0.59,0.24,0.23
Jerell Adams,TE,0.22,0.21,-0.21,0.64,0.12,0.2
Brandon Williams,TE,0.17,0.15,-0.13,0.46,0.19,0.14
James OShaughnessy,TE,0.17,0.21,-0.24,0.58,0.41,0.0
Khari Lee,TE,0.12,0.17,-0.22,0.46,0.36,0.0
Temarrick Hemingway,TE,0.1,0.14,-0.18,0.38,0.23,0.0
Orson Charles,TE,0.01,0.02,-0.02,0.04,0.04,0.0
Asante Cleveland,TE,0.0,0.0,0.0,0.0,,0.0
Chase Coffman,TE,0.0,0.0,0.0,0.0,,0.0
Jerome Cunningham,TE,0.0,0.0,0.0,0.0,,0.0
Tony Moeaki,TE,0.0,0.0,0.0,0.0,,0.0
Brian Parker,TE,0.0,0.0,0.0,0.0,,0.0
Nic Jacobs,TE,0.0,0.0,0.0,0.0,,0.0
Ifeanyi Momah,TE,0.0,0.0,0.0,0.0,,0.0
Marcel Jensen,TE,0.0,0.0,0.0,0.0,,0.0
Rob Housler,TE,0.0,0.0,0.0,0.0,,0.0
Antonio Brown,WR,23.85,4.51,14.83,32.86,23.36,25.88
Julio Jones,WR,20.01,5.88,8.25,31.77,18.99,18.89
A.J. Green,WR,17.8,3.99,9.81,25.78,17.39,18.02
Odell Beckham,WR,17.31,2.06,13.19,21.43,17.18,18.05
DeAndre Hopkins,WR,16.57,4.15,8.27,24.86,15.88,17.81
Jarvis Landry,WR,15.86,1.93,11.99,19.73,15.74,16.05
Larry Fitzgerald,WR,15.7,2.68,10.34,21.05,15.47,15.43
Dez Bryant,WR,15.63,5.99,3.65,27.6,14.33,15.37
Brandon Marshall,WR,15.03,1.94,11.15,18.92,14.91,15.4
Allen Robinson,WR,15.03,3.59,7.85,22.21,14.43,16.31
Marvin Jones,WR,14.92,4.25,6.41,23.43,14.11,17.22
Alshon Jeffery,WR,14.84,2.92,9.0,20.68,14.53,15.31
Demaryius Thomas,WR,14.81,3.51,7.79,21.82,14.21,16.35
Emmanuel Sanders,WR,14.4,1.92,10.56,18.25,14.28,13.87
Kelvin Benjamin,WR,14.3,2.01,10.27,18.33,14.17,14.05
Stefon Diggs,WR,14.21,1.76,10.69,17.74,14.11,13.96
Mike Evans,WR,14.13,1.71,10.72,17.55,14.02,14.2
Brandin Cooks,WR,13.9,3.18,7.55,20.25,13.41,15.29
T.Y. Hilton,WR,13.59,3.34,6.92,20.26,13.09,15.39
Amari Cooper,WR,13.55,3.99,5.56,21.53,12.78,14.89
Doug Baldwin,WR,13.51,2.93,7.65,19.36,13.08,13.91
Travis Benjamin,WR,13.46,4.21,5.03,21.88,12.59,15.85
Jeremy Maclin,WR,13.08,3.69,5.69,20.46,12.34,14.79
Eric Decker,WR,13.07,3.5,6.07,20.07,12.45,13.92
DeVante Parker,WR,12.97,1.05,10.88,15.06,12.93,13.44
Julian Edelman,WR,12.81,2.78,7.25,18.36,12.37,13.9
Sammy Watkins,WR,12.43,3.28,5.87,18.99,11.9,13.5
Golden Tate,WR,11.96,3.27,5.41,18.51,11.27,13.12
Michael Crabtree,WR,11.89,3.01,5.86,17.92,11.36,12.82
Michael Floyd,WR,11.83,0.63,10.58,13.08,11.81,11.9
Terrelle Pryor,WR,11.64,1.82,8.01,15.27,11.49,12.04
DeSean Jackson,WR,11.57,2.69,6.19,16.95,11.13,12.33
Allen Hurns,WR,11.45,0.79,9.87,13.04,11.43,11.46
Sterling Shepard,WR,11.38,1.18,9.02,13.75,11.32,11.88
Will Fuller,WR,11.19,2.54,6.1,16.28,10.83,11.85
Steve Smith,WR,10.87,2.52,5.82,15.91,10.54,10.9
Tyrell Williams,WR,10.76,3.58,3.59,17.93,10.02,12.73
Pierre Garcon,WR,10.71,4.49,1.74,19.69,9.85,9.95
Torrey Smith,WR,10.3,3.22,3.85,16.74,9.52,11.37
Phillip Dorsett,WR,10.28,2.93,4.41,16.15,9.78,11.32
John Brown,WR,10.12,3.05,4.01,16.22,9.46,10.8
Willie Snead,WR,10.07,5.25,-0.43,20.58,11.67,12.01
Tavon Austin,WR,9.83,2.5,4.82,14.83,9.46,11.05
Tyler Lockett,WR,9.61,3.06,3.5,15.72,8.95,10.18
Kenny Stills,WR,9.59,0.82,7.96,11.22,9.55,9.84
Victor Cruz,WR,9.17,4.95,-0.73,19.08,8.11,8.22
Vincent Jackson,WR,9.07,1.73,5.61,12.54,8.9,9.59
Tajae Sharpe,WR,9.0,2.28,4.43,13.56,8.7,8.28
Mike Wallace,WR,8.91,2.59,3.72,14.1,8.38,10.24
Mohamed Sanu,WR,8.74,2.74,3.26,14.22,8.18,8.65
Anquan Boldin,WR,8.66,1.78,5.09,12.22,8.43,9.34
Michael Thomas,WR,8.46,3.15,2.17,14.76,7.68,9.82
Brandon LaFell,WR,8.37,2.06,4.25,12.49,8.12,7.6
Tyler Boyd,WR,8.24,0.76,6.72,9.75,8.2,8.26
Jamison Crowder,WR,8.23,2.91,2.4,14.06,7.66,8.4
