player,position,Fantasy Points,FP deviation,Floor,Ceiling,Geometric mean,Median
Panthers,DST,12.2,5.81,0.59,23.81,11.24,9.75
Eagles,DST,10.08,6.85,-3.61,23.78,8.57,7.0
Chiefs,DST,9.73,2.56,4.61,14.85,9.42,8.8
Vikings,DST,9.6,4.69,0.22,18.98,8.47,8.3
Packers,DST,9.47,4.36,0.74,18.19,8.75,7.95
Cardinals,DST,9.27,3.08,3.1,15.44,8.88,7.8
Lions,DST,8.95,3.43,2.1,15.8,8.4,8.2
Bears,DST,8.9,6.37,-3.84,21.64,7.5,6.65
Patriots,DST,8.73,3.42,1.89,15.58,8.2,7.4
Seahawks,DST,8.6,2.99,2.61,14.59,8.19,8.05
Bengals,DST,8.45,3.4,1.65,15.25,7.96,7.15
Texans,DST,8.42,2.56,3.29,13.54,8.11,7.7
Broncos,DST,8.2,3.3,1.6,14.8,7.65,7.6
Giants,DST,8.0,6.32,-4.64,20.64,6.53,5.35
Steelers,DST,7.98,2.77,2.45,13.52,7.62,7.05
Colts,DST,7.95,3.45,1.06,14.84,7.32,7.4
Jets,DST,7.85,2.95,1.96,13.74,7.4,7.05
Buccaneers,DST,7.8,3.82,0.16,15.44,7.11,6.7
Saints,DST,7.57,3.97,-0.38,15.51,6.75,6.7
Browns,DST,7.28,3.41,0.47,14.1,6.61,6.1
Raiders,DST,7.27,3.1,1.06,13.48,6.77,6.15
Ravens,DST,7.2,4.51,-1.83,16.23,6.26,5.05
Redskins,DST,7.02,3.29,0.44,13.59,6.43,6.3
Falcons,DST,6.85,4.29,-1.74,15.44,5.89,5.45
Bills,DST,6.83,3.71,-0.58,14.24,6.16,5.4
49ers,DST,6.8,4.37,-1.94,15.54,5.79,5.1
Chargers,DST,6.65,3.53,-0.41,13.71,5.95,5.05
Jaguars,DST,6.6,3.91,-1.22,14.42,5.15,6.6
Dolphins,DST,6.47,4.02,-1.58,14.51,5.55,5.15
Titans,DST,6.45,4.96,-3.47,16.37,5.07,5.15
Cowboys,DST,5.88,3.98,-2.08,13.85,4.54,5.05
Russell Wilson,QB,21.69,1.8,18.09,25.29,21.61,21.67
Drew Brees,QB,20.77,2.88,15.0,26.54,20.58,19.69
Ben Roethlisberger,QB,20.75,4.16,12.44,29.06,20.29,21.78
Andrew Luck,QB,20.38,3.7,12.97,27.78,20.05,20.42
Cam Newton,QB,19.75,2.66,14.44,25.07,19.56,19.83
Matt Ryan,QB,19.58,1.99,15.6,23.55,19.48,19.2
Aaron Rodgers,QB,19.47,2.15,15.17,23.77,19.34,19.91
Matthew Stafford,QB,19.4,3.13,13.13,25.67,19.13,19.46
Derek Carr,QB,19.35,1.48,16.4,22.3,19.29,20.02
Tyrod Taylor,QB,19.08,2.39,14.3,23.86,18.93,18.73
Kirk Cousins,QB,18.52,2.37,13.79,23.25,18.36,18.53
Alex Smith,QB,18.38,4.14,10.1,26.67,17.93,17.97
Jameis Winston,QB,17.84,1.41,15.03,20.65,17.78,17.85
Blake Bortles,QB,17.59,2.31,12.97,22.21,17.42,17.61
Eli Manning,QB,17.42,2.97,11.49,23.36,17.15,17.42
Ryan Fitzpatrick,QB,17.07,1.26,14.54,19.59,17.02,16.96
Dak Prescott,QB,16.99,2.0,12.98,21.0,16.87,17.54
Carson Palmer,QB,16.89,2.28,12.33,21.45,16.72,17.99
Brock Osweiler,QB,16.87,2.06,12.74,21.0,16.73,17.89
Philip Rivers,QB,16.55,2.61,11.33,21.77,16.36,16.48
Jimmy Garoppolo,QB,16.36,2.4,11.55,21.17,16.18,16.3
Marcus Mariota,QB,15.61,1.45,12.7,18.52,15.54,16.21
Blaine Gabbert,QB,15.46,1.37,12.71,18.21,15.4,15.52
Carson Wentz,QB,15.43,2.27,10.88,19.97,15.25,14.89
Andy Dalton,QB,15.28,1.38,12.53,18.03,15.22,15.2
Joe Flacco,QB,14.99,1.71,11.56,18.42,14.89,15.7
Jay Cutler,QB,14.1,1.35,11.39,16.8,14.03,14.16
Ryan Tannehill,QB,13.79,1.38,11.03,16.56,13.72,13.77
Robert Griffin,QB,13.67,3.97,5.73,21.62,12.78,13.81
Case Keenum,QB,11.72,3.09,5.55,17.9,11.15,12.5
Trevor Siemian,QB,10.94,2.2,6.53,15.34,10.66,11.44
Sam Bradford,QB,10.33,6.46,-2.59,23.25,12.02,12.54
Shaun Hill,QB,8.37,5.51,-2.65,19.4,7.5,11.7
Colin Kaepernick,QB,4.39,5.69,-6.99,15.77,3.06,2.65
Geno Smith,QB,3.5,3.86,-4.22,11.21,1.95,1.83
Josh McCown,QB,3.04,3.79,-4.54,10.63,4.45,2.91
Paxton Lynch,QB,2.59,3.32,-4.06,9.23,1.88,1.03
Mark Sanchez,QB,1.65,1.3,-0.95,4.24,1.69,1.67
Brian Hoyer,QB,1.24,1.61,-1.99,4.47,1.22,0.2
Nick Foles,QB,1.14,1.27,-1.39,3.68,0.72,0.64
Colt McCoy,QB,1.12,1.19,-1.26,3.5,0.78,0.32
Mike Glennon,QB,1.07,1.23,-1.4,3.54,0.68,0.24
Matt Cassel,QB,0.95,1.12,-1.3,3.19,0.7,0.32
E.J. Manuel,QB,0.94,1.08,-1.21,3.1,0.53,0.39
AJ McCarron,QB,0.84,0.94,-1.05,2.72,0.4,0.17
